step,loss,lr,step_time,optimizer,seed,peak_memory_mb,param_norm_l2,grad_norm_l2,update_norm_l2,update_ratio,grad_update_cos,hessian_top_eig,test_loss,test_ppl,test_acc,test_ece,generalization_gap
460,2.583243,0.01,0.007645,sgd,42,331.6089,2.02987695e+02,4.02248388e-01,2.05101662e-01,1.01041426e-03,-2.63710249e-02,nan,2.57749581e+00,1.31641314e+01,2.94067383e-01,3.24788497e-02,-5.74758053e-03
470,2.561532,0.01,0.007627,sgd,42,331.6089,2.00951596e+02,3.55629725e-01,2.03080816e-01,1.01059569e-03,-2.66241958e-02,nan,2.56952745e+00,1.30596516e+01,3.02978516e-01,2.38203263e-02,7.99580812e-03
480,2.544507,0.01,0.007744,sgd,42,331.6089,1.98935919e+02,3.61660772e-01,2.00987081e-01,1.01031067e-03,-1.88431008e-02,nan,2.56897858e+00,1.30524855e+01,2.98767090e-01,2.61446136e-02,2.44711697e-02
490,2.551324,0.01,0.007502,sgd,42,331.6089,1.96940728e+02,3.35815664e-01,1.98987581e-01,1.01039324e-03,-2.24704152e-02,nan,2.56271708e+00,1.29710128e+01,3.02551270e-01,2.53051642e-02,1.13930702e-02
500,2.548849,0.01,0.007567,sgd,42,331.6089,1.94965600e+02,6.49897899e-01,1.97015089e-01,1.01051206e-03,-2.03149877e-02,4.49162582e+01,2.56353307e+00,1.29816013e+01,2.99377441e-01,2.36355457e-02,1.46840572e-02
510,2.567408,0.01,0.007393,sgd,42,331.6089,1.93010382e+02,4.65688547e-01,1.95012937e-01,1.01037538e-03,-2.33776125e-02,nan,2.55969018e+00,1.29318101e+01,2.99926758e-01,2.68270855e-02,-7.71752596e-03
520,2.536881,0.01,0.007548,sgd,42,331.6089,1.91074974e+02,7.88623618e-01,1.93149194e-01,1.01085553e-03,-3.82980726e-02,nan,2.55612198e+00,1.28857490e+01,3.01330566e-01,2.35419370e-02,1.92405283e-02
530,2.543323,0.01,0.007984,sgd,42,331.6089,1.89159046e+02,6.89274178e-01,1.91260435e-01,1.01110911e-03,-3.93352613e-02,nan,2.55078304e+00,1.28171362e+01,3.02734375e-01,2.39685213e-02,7.45997429e-03
540,2.541960,0.01,0.007491,sgd,42,331.6089,1.87262393e+02,6.81121869e-01,1.89203301e-01,1.01036464e-03,-2.22164939e-02,nan,2.55247179e+00,1.28387994e+01,2.97729492e-01,2.61676854e-02,1.05114281e-02
550,2.513621,0.01,0.007449,sgd,42,331.6089,1.85384859e+02,3.29069471e-01,1.87348507e-01,1.01059228e-03,-1.56679632e-02,3.86156720e+01,2.54998404e+00,1.28068994e+01,2.96813965e-01,2.54798603e-02,3.63628745e-02
560,2.547653,0.01,0.007441,sgd,42,331.6089,1.83526304e+02,5.88744076e-01,1.85492010e-01,1.01071076e-03,-3.42151002e-02,nan,2.53947574e+00,1.26730253e+01,3.02917480e-01,2.72054149e-02,-8.17772150e-03
570,2.538094,0.01,0.007509,sgd,42,331.6089,1.81686495e+02,3.08974725e-01,1.83661676e-01,1.01087137e-03,-2.57409711e-02,nan,2.54688922e+00,1.27673255e+01,3.02490234e-01,2.79872390e-02,8.79502892e-03
580,2.535411,0.01,0.007677,sgd,42,331.6089,1.79865137e+02,4.28401451e-01,1.81883552e-01,1.01122182e-03,-3.16426491e-02,nan,2.54061189e+00,1.26874319e+01,3.04016113e-01,2.26991417e-02,5.20110726e-03
590,2.540972,0.01,0.007778,sgd,42,331.6089,1.78062094e+02,3.75616273e-01,1.79972888e-01,1.01073106e-03,-3.36255556e-02,nan,2.53934631e+00,1.26713851e+01,2.98217773e-01,2.68005394e-02,-1.62556767e-03
600,2.513601,0.01,0.007633,sgd,42,331.6089,1.76277305e+02,4.61999712e-01,1.78171062e-01,1.01074306e-03,-1.58717609e-02,3.38659742e+01,2.53326750e+00,1.25945918e+01,3.03039551e-01,3.06664771e-02,1.96669579e-02
610,2.489483,0.01,0.007354,sgd,42,331.6089,1.74510478e+02,3.83960985e-01,1.76262450e-01,1.01003935e-03,-2.02675611e-02,nan,2.53330493e+00,1.25950632e+01,3.00476074e-01,2.54053246e-02,4.38220024e-02
620,2.535350,0.01,0.007749,sgd,42,331.6089,1.72761406e+02,3.39066591e-01,1.74515923e-01,1.01015572e-03,-2.07907010e-02,nan,2.52983189e+00,1.25513959e+01,3.04626465e-01,2.48485928e-02,-5.51855564e-03
630,2.528032,0.01,0.007740,sgd,42,331.6089,1.71029971e+02,3.95840991e-01,1.72759211e-01,1.01011074e-03,-2.66301543e-02,nan,2.52968606e+00,1.25495658e+01,2.99194336e-01,2.31214925e-02,1.65421367e-03
